Nombre de Publicación,Estado,Ciudad,Colonia,Avenida,Tipo de propiedad,Tipo de Operación,Condición del Inmueble,Precio,Precio por m2,Moneda,Número de recámaras,Número de baños completos,Número de m2,Unidad de medida,Link de la publicación,Foto de publicación,Real State Agency?,Latitud,Longitud,ID
Venta Depto 74m2 Del Valle,Distrito Federal,Benito Juárez,Colonia Del Valle,"Providencia, DEL VALLE 707",Departamento,Venta,Usado,8650000,116891.8918918919,MXN,2,2,74.0,m²,https://departamento.mercadolibre.com.mx/MLM-895754903-venta-depto-74m2-del-valle-_JM,http://http2.mlstatic.com/D_693178-MLM45017801392_022021-I.jpg,True,19.391485,-99.169,MLM895754903
"Venta De Departamento En La Colonia Del Valle, Benito Juárez",Distrito Federal,Benito Juárez,Del Valle Centro,Agustin  Gonzalez de Cossio,Departamento,Venta,Nuevo,7504400,80692.47311827957,MXN,2,2,93.0,m²,https://departamento.mercadolibre.com.mx/MLM-863404797-venta-de-departamento-en-la-colonia-del-valle-benito-juarez-_JM,http://mlm-s2-p.mlstatic.com/872335-MLM44597171450_012021-I.jpg,True,19.384975,-99.17117,MLM863404797
"Departamento Garden House, Dev-4319",Distrito Federal,Benito Juárez,Colonia Del Valle,PROVIDENCIA 776,Departamento,Venta,Usado,11654207,80373.84137931034,MXN,3,2,145.0,m²,https://departamento.mercadolibre.com.mx/MLM-875351226-departamento-garden-house-dev-4319-_JM,http://http2.mlstatic.com/D_754093-MLM43584024317_092020-I.jpg,True,19.390106,-99.16901,MLM875351226
Penthouse 3 Recamaras Colonia  Del Valle,Distrito Federal,Benito Juárez,Del Valle Centro,,Departamento,Venta,Nuevo,13565100,79794.70588235294,MXN,3,3,170.0,m²,https://departamento.mercadolibre.com.mx/MLM-883345204-penthouse-3-recamaras-colonia-del-valle-_JM,http://http2.mlstatic.com/D_909668-MLM45063038896_032021-I.jpg,True,19.379715,-99.16772,MLM883345204
"Departamento En Venta En Colonia Del Valle ,90.42m2 ,$675500",Distrito Federal,Benito Juárez,Del Valle Centro,NICOLAS SAN JUAN,Departamento,Venta,Nuevo,6755000,75055.55555555556,MXN,2,2,90.0,m²,https://departamento.mercadolibre.com.mx/MLM-872562349-departamento-en-venta-en-colonia-del-valle-9042m2-675500-_JM,http://http2.mlstatic.com/D_898512-MLM44817610275_022021-I.jpg,True,19.382618,-99.16362,MLM872562349
"Venta Departamento Colonia Del Valle, Para Estrenar, Entrega",Distrito Federal,Benito Juárez,Del Valle Centro,Amores,Departamento,Venta,Nuevo,7628000,74784.3137254902,MXN,3,2,102.0,m²,https://departamento.mercadolibre.com.mx/MLM-862238710-venta-departamento-colonia-del-valle-para-estrenar-entrega-_JM,http://http2.mlstatic.com/D_699126-MLM44571660775_012021-I.jpg,True,19.383799,-99.166435,MLM862238710
"Departamento En Venta En Colonia Del Valle ,90.42m2 ,$6,604,",Distrito Federal,Benito Juárez,Del Valle Centro,NICOLAS SAN JUAN,Departamento,Venta,Nuevo,6604740,73386.0,MXN,2,2,90.0,m²,https://departamento.mercadolibre.com.mx/MLM-872562341-departamento-en-venta-en-colonia-del-valle-9042m2-6604-_JM,http://http2.mlstatic.com/D_657778-MLM44817612341_022021-I.jpg,True,19.382618,-99.16362,MLM872562341
"Departamento En Venta, Vita Del Valle, Colonia Del Valle, Ci",Distrito Federal,Benito Juárez,Del Valle Norte,,Departamento,Venta,Nuevo,5755000,72848.10126582278,MXN,2,2,79.0,m²,https://departamento.mercadolibre.com.mx/MLM-875534429-departamento-en-venta-vita-del-valle-colonia-del-valle-ci-_JM,http://http2.mlstatic.com/D_898204-MLM44907503879_022021-I.jpg,True,19.38173,-99.164986,MLM875534429
"Departamento En Venta, Vita Del Valle, Colonia Del Valle, Ci",Distrito Federal,Benito Juárez,Del Valle Norte,,Departamento,Venta,Nuevo,6200000,72093.02325581395,MXN,2,2,86.0,m²,https://departamento.mercadolibre.com.mx/MLM-875524275-departamento-en-venta-vita-del-valle-colonia-del-valle-ci-_JM,http://mlm-s2-p.mlstatic.com/781223-MLM44907283457_022021-I.jpg,True,19.38173,-99.164986,MLM875524275
"Departamento En Venta, Vita Del Valle, Colonia Del Valle, Ci",Distrito Federal,Benito Juárez,Del Valle Norte,,Departamento,Venta,Nuevo,5690000,72025.3164556962,MXN,2,2,79.0,m²,https://departamento.mercadolibre.com.mx/MLM-875533998-departamento-en-venta-vita-del-valle-colonia-del-valle-ci-_JM,http://mlm-s1-p.mlstatic.com/916104-MLM44907446510_022021-I.jpg,True,19.38173,-99.164986,MLM875533998
Departamento Venta Colonia Del Valle Excelente Pent House En Venta!!!,Distrito Federal,Benito Juárez,Colonia Del Valle,San Borja 835,Departamento,Venta,Usado,10500000,71917.80821917808,MXN,3,3,146.0,m²,https://departamento.mercadolibre.com.mx/MLM-793780888-departamento-venta-colonia-del-valle-excelente-pent-house-en-venta-_JM,http://http2.mlstatic.com/D_820834-MLM44887068159_022021-I.jpg,True,19.384018,-99.163605,MLM793780888
"Departamento En Venta, Vita Del Valle, Colonia Del Valle, Ci",Distrito Federal,Benito Juárez,Del Valle Norte,,Departamento,Venta,Nuevo,5680000,71898.73417721518,MXN,2,2,79.0,m²,https://departamento.mercadolibre.com.mx/MLM-875522284-departamento-en-venta-vita-del-valle-colonia-del-valle-ci-_JM,http://mlm-s1-p.mlstatic.com/945640-MLM44907111417_022021-I.jpg,True,19.38173,-99.164986,MLM875522284
"Departamento En Venta, Vita Del Valle, Colonia Del Valle, Ci",Distrito Federal,Benito Juárez,Del Valle Norte,,Departamento,Venta,Nuevo,5605000,70949.3670886076,MXN,2,2,79.0,m²,https://departamento.mercadolibre.com.mx/MLM-875526729-departamento-en-venta-vita-del-valle-colonia-del-valle-ci-_JM,http://http2.mlstatic.com/D_704093-MLM44907203673_022021-I.jpg,True,19.38173,-99.164986,MLM875526729
Departamento Nuevo En Venta En Colonia Del Valle,Distrito Federal,Benito Juárez,Del Valle Centro,AMORES,Departamento,Venta,Nuevo,7800000,70909.09090909091,MXN,2,2,110.0,m²,https://departamento.mercadolibre.com.mx/MLM-809883974-departamento-nuevo-en-venta-en-colonia-del-valle-_JM,http://http2.mlstatic.com/D_709948-MLM43753689536_102020-I.jpg,True,19.383799,-99.166435,MLM809883974
