Nombre de Publicación,Tipo de Inmueble,Estado,Ciudad,Colonia,Latitud,Longitud,Número de m2,Unidad de medida,Precio,Moneda,Link de la publicación
Casa Roma Departamentos De Lujo En Colonia Roma Cdmx,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.402925,-99.168045,111,m²,"6,580,413",MXN,https://departamento.mercadolibre.com.mx/MLM-677311189-casa-roma-departamentos-de-lujo-en-colonia-roma-cdmx-_JM
"Departamento Exterior En Venta, Roma Sur TonalÃ¡",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,103,m²,"3,650,000",MXN,https://departamento.mercadolibre.com.mx/MLM-813508845-departamento-exterior-en-venta-roma-sur-tonala-_JM
"Hipodromo Condesa, Condesa, Roma, Del Valle, Cuauhtemoc, Sur",Venta,Distrito Federal,Cuauhtémoc,Hipodromo Condesa,19.404474,-99.17038,120,m²,"4,980,000",MXN,https://departamento.mercadolibre.com.mx/MLM-802987571-hipodromo-condesa-condesa-roma-del-valle-cuauhtemoc-sur-_JM
Nayarit Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.409822,-99.16214,121,m²,"9,400,000",MXN,https://departamento.mercadolibre.com.mx/MLM-812332451-nayarit-roma-sur-_JM
Tlacotalpan Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.405256,-99.16621,165,m²,"10,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-812909634-tlacotalpan-roma-sur-_JM
Baja California Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.405973,-99.16638,65,m²,"3,100,000",MXN,https://departamento.mercadolibre.com.mx/MLM-812963317-baja-california-roma-sur-_JM
Leon De Los Aldamas Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.410973,-99.16086,139,m²,"7,500,000",MXN,https://departamento.mercadolibre.com.mx/MLM-815992694-leon-de-los-aldamas-roma-sur-_JM
Departamento En La Colonia Roma Sur Con Hermoso Roof Garden Propio.,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40617,-99.16027,71,m²,"5,150,000",MXN,https://departamento.mercadolibre.com.mx/MLM-829079000-departamento-en-la-colonia-roma-sur-con-hermoso-roof-garden-propio-_JM
Tehuantepec Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.40485,-99.16317,179,m²,"7,250,000",MXN,https://departamento.mercadolibre.com.mx/MLM-812959909-tehuantepec-roma-sur-_JM
MedellÃ­n Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.411606,-99.16452,83,m²,"3,199,000",MXN,https://departamento.mercadolibre.com.mx/MLM-812966822-medellin-roma-sur-_JM
Departamento. Venta. Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401133,-99.16735,110,m²,"5,250,001",MXN,https://departamento.mercadolibre.com.mx/MLM-770029776-departamento-venta-roma-sur-_JM
Departamento De Lujo Estilo Industrial En La Roma Norte,Venta,Distrito Federal,Cuauhtémoc,Roma Norte,19.419075,-99.16064,190,m²,"10,900,000",MXN,https://departamento.mercadolibre.com.mx/MLM-825987986-departamento-de-lujo-estilo-industrial-en-la-roma-norte-_JM
Penthouse En Venta Colonia Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,133,m²,"5,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-789294791-penthouse-en-venta-colonia-roma-_JM
Compra Departamento Excelente UbicaciÃ³n,Venta,Distrito Federal,Cuauhtémoc,Roma Norte,19.423094,-99.164185,85,m²,"4,445,000",MXN,https://departamento.mercadolibre.com.mx/MLM-788974276-compra-departamento-excelente-ubicacion-_JM
"Aguascalientes, Roma | 3 Exclusivos Departamentos | Preventa",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.408463,-99.1657,120,m²,"7,410,000",MXN,https://departamento.mercadolibre.com.mx/MLM-788143468-aguascalientes-roma-3-exclusivos-departamentos-preventa-_JM
