Nombre de Publicación,Estado,Ciudad,Colonia,Avenida,Tipo de propiedad,Tipo de Operación,Condición del Inmueble,Precio,Precio por m2,Moneda,Número de recámaras,Número de baños completos,Número de m2,Unidad de medida,Link de la publicación,Foto de publicación,Real State Agency?,Latitud,Longitud,ID,updated_at
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas de Chapultepec I Sección,Paseo de las Palmas,Casa,Venta,not specified,69500000,87421.38365,MXN,3,4,795,m²,https://casa.mercadolibre.com.mx/MLM-786181310-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_796522-MLM42242895820_062020-I.jpg,TRUE,19.411036,-99.22981,MLM786181310,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas De Reforma,Alcázar de Toledo,Casa,Venta,not specified,24900000,31360.20151,MXN,4,3,794,m²,https://casa.mercadolibre.com.mx/MLM-807670614-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_862994-MLM43228401373_082020-I.jpg,TRUE,19.402567,-99.23447,MLM807670614,04/12/2021
"Casa En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Lomas Axomiatla,Calzada de las Aguilas,Casa,Venta,not specified,23500000,30244.53024,MXN,3,3,777,m²,https://casa.mercadolibre.com.mx/MLM-853397528-casa-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_831549-MLM44402243585_122020-I.jpg,TRUE,19.341574,-99.25253,MLM853397528,04/12/2021
"Departamento En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Real De Las Lomas,Paseo de la Reforma,Departamento,Venta,not specified,44297547,58057.07339,MXN,4,4,763,m²,https://departamento.mercadolibre.com.mx/MLM-896404186-departamento-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_644336-MLM45319532143_032021-I.jpg,TRUE,19.397224,-99.23671,MLM896404186,04/12/2021
"Residencia Para Reformar, En Una De Las Colonias Con Mayor Plusvalía De La Ciudad De México",Distrito Federal,Tlalpan,Jardines En La Montaña,Pico de Verapaz,Casa,Venta,Usado,18950000,25266.66667,MXN,6,5,750,m²,https://casa.mercadolibre.com.mx/MLM-841706122-residencia-para-reformar-en-una-de-las-colonias-con-mayor-plusvalia-de-la-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_774007-MLM44127728932_112020-I.jpg,TRUE,19.300726,-99.19938,MLM841706122,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Bosque de Amates,Casa,Venta,not specified,35000000,46666.66667,MXN,3,3,750,m²,https://casa.mercadolibre.com.mx/MLM-758160424-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_808362-MLM40817319180_022020-I.jpg,TRUE,19.394712,-99.247215,MLM758160424,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Olmos,Casa,Venta,not specified,33000000,44594.59459,MXN,3,5,740,m²,https://casa.mercadolibre.com.mx/MLM-886549665-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_997431-MLM45118561444_032021-I.jpg,TRUE,19.403582,-99.249084,MLM886549665,04/12/2021
"Casa En Venta, Tlalpan, Ciudad De México",Distrito Federal,Tlalpan,Club de Golf México,San Buena Aventura,Casa,Venta,not specified,22999000,31635.48831,MXN,4,6,727,m²,https://casa.mercadolibre.com.mx/MLM-758094147-casa-en-venta-tlalpan-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_637554-MLM40814530642_022020-I.jpg,TRUE,19.282906,-99.16049,MLM758094147,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Amates,Casa,Venta,not specified,34900000,49154.92958,MXN,4,4,710,m²,https://casa.mercadolibre.com.mx/MLM-807678003-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_773130-MLM43228957850_082020-I.jpg,TRUE,19.394712,-99.247215,MLM807678003,04/12/2021
"Departamento En Venta, Benito Juárez, Ciudad De México",Distrito Federal,Benito Juárez,Ciudad De Los Deportes,Ilinois,Departamento,Venta,not specified,21800000,30747.53173,MXN,3,1,709,m²,https://departamento.mercadolibre.com.mx/MLM-843857897-departamento-en-venta-benito-juarez-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/746157-MLM44180900765_112020-I.jpg,TRUE,19.385406,-99.17914,MLM843857897,04/12/2021
