ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
60588445,9  Antigüedad,70,m²,70,m²,19.4575415,-99.2118854,https://www.inmuebles24.com/propiedades/ph-soleado-departamento-remodelado-en-torres-toreo-60588445.html
60815375,A estrenar,76,m²,0,,19.4593798,-99.1906407,https://www.inmuebles24.com/propiedades/venta-de-excelente-departamento-6b-en-torre-blanca-60815375.html
60534054,10  Antigüedad,84,m²,84,m²,19.4365009,-99.1398041,https://www.inmuebles24.com/propiedades/se-vende-departamento-en-edificio-historico-de-la-cdmx-60534054.html
60995431,A estrenar,0,,95,m²,19.390804,-99.1498313,https://www.inmuebles24.com/propiedades/departamento-en-colonia-narvarte-oriente-benito-60995431.html
60995343,A estrenar,0,,70,m²,19.390804,-99.1498313,https://www.inmuebles24.com/propiedades/departamento-en-colonia-narvarte-oriente-benito-60995343.html
60995230,A estrenar,0,,104,m²,19.390804,-99.1498313,https://www.inmuebles24.com/propiedades/departamento-en-colonia-narvarte-oriente-benito-60995230.html
60994762,A estrenar,0,,94,m²,19.3837135,-99.1492085,https://www.inmuebles24.com/propiedades/departamento-en-calle-zempoala-col.-narvarte-benito-60994762.html
60994691,A estrenar,0,,87,m²,19.3837135,-99.1492085,https://www.inmuebles24.com/propiedades/departamento-en-calle-zempoala-col.-narvarte-benito-60994691.html
60994642,A estrenar,0,,87,m²,19.3837135,-99.1492085,https://www.inmuebles24.com/propiedades/departamento-en-zempoala-col.-narvarte-benito-60994642.html
59822142,15  Antigüedad,0,,75,m²,19.3957813,-99.168406,https://www.inmuebles24.com/propiedades/departamento-de-oportunidad-de-banco-en-zona-de-benito-59822142.html
58238714,7  Antigüedad,0,,100,m²,19.4039802,-99.1676134,https://www.inmuebles24.com/propiedades/departamento-en-roma-sur-de-oportunidad!-58238714.html
59938629,15  Antigüedad,0,,40,m²,19.4609805,-99.1881314,https://www.inmuebles24.com/propiedades/oportunidad-de-banco-en-zona-de-azcapotzalco-59938629.html
58237226,10  Antigüedad,0,,90,m²,19.3964823,-99.1367299,https://www.inmuebles24.com/propiedades/departamento-de-oportunidad-en-amado-nervo-58237226.html
58217353,17  Antigüedad,0,,70,m²,19.3837964,-99.1971753,https://www.inmuebles24.com/propiedades/departamento-en-la-mejor-zona-de-tlalpan-es-la-58217353.html
59362841,15  Antigüedad,80,m²,80,m²,19.4587278,-99.1800919,https://www.inmuebles24.com/propiedades/departamento-de-banco-en-zona-de-popotla-mar-egeo-59362841.html
58175276,19  Antigüedad,0,,70,m²,19.4039298,-99.1431394,https://www.inmuebles24.com/propiedades/oportunidad-de-banco-en-zona-de-algarin-58175276.html
60987902,15  Antigüedad,103,m²,103,m²,19.4819674,-99.1126949,https://www.inmuebles24.com/propiedades/departamento-ubicado-en-francisco-moreno-5-villa-60987902.html
60987325,A estrenar,0,,80,m²,19.3613152,-99.1526637,https://www.inmuebles24.com/propiedades/pet-house-av-popocatepetl-col.-portales-sur-benito-60987325.html
60986953,A estrenar,0,,120,m²,19.3613152,-99.1526637,https://www.inmuebles24.com/propiedades/departamento-av-popocatepetl-col.-portales-sur-60986953.html
60986612,A estrenar,0,,60,m²,19.3613152,-99.1526637,https://www.inmuebles24.com/propiedades/departamento-av-popocatepetl-col.-portales-sur-60986612.html
59947930,A estrenar,58,m²,58,m²,19.3563414,-99.0644676,https://www.inmuebles24.com/propiedades/vive-en-inigualable-departamento-en-col.-las-americas-59947930.html
60982064,2   Recámaras,189,m²,157,m²,19.43302172,-99.19470068,https://www.inmuebles24.com/propiedades/garden-house-en-venta-en-polanco-iv-secc-60982064.html
60982063,1   Medio baño,168,m²,157,m²,19.43059462,-99.19397696,https://www.inmuebles24.com/propiedades/departamento-interior-en-venta-polanco-iv-secc-60982063.html
60982062,1   Medio baño,60,m²,60,m²,19.3935143,-99.1649891,https://www.inmuebles24.com/propiedades/departamento-venta-del-valle-parque-maria-enriqueta-60982062.html
59940721,16  Antigüedad,65,m²,65,m²,19.4215143,-99.1294723,https://www.inmuebles24.com/propiedades/depto-en-planta-baja-65-m-sup2--con-estacionamiento-59940721.html
60967478,A estrenar,0,,113,m²,19.3741641,-99.1576599,https://www.inmuebles24.com/propiedades/departamento-en-av-division-del-nte.-1368-letran-valle-60967478.html
60967325,A estrenar,0,,102,m²,19.3741641,-99.1576599,https://www.inmuebles24.com/propiedades/departamento-en-av-division-del-nte.-1368-letran-valle-60967325.html
60434213,10  Antigüedad,90,m²,55,m²,19.3966877,-99.1818802,https://www.inmuebles24.com/propiedades/hermoso-departamento-con-roof-garden-privado-60434213.html
60962741,A estrenar,60,m²,0,,19.3583576,-99.2866262,https://www.inmuebles24.com/propiedades/departamento-cuajimalpa-de-morelos-60962741.html
60942112,15  Antigüedad,120,m²,120,m²,19.4081526,-99.1797404,https://www.inmuebles24.com/propiedades/-ultimos-remates!-benjamin-hill-97-hipodromo-condesa-60942112.html
60018514,17  Antigüedad,0,,83,m²,19.3758199,-99.1360608,https://www.inmuebles24.com/propiedades/oportunidad-de-banco-en-zona-de-benito-juarez-60018514.html
58180733,17  Antigüedad,0,,65,m²,19.4185174,-99.1613449,https://www.inmuebles24.com/propiedades/excelente-departamento-en-roma-sur!-58180733.html
59869189,20  Antigüedad,0,,55,m²,19.4973547,-99.1865053,https://www.inmuebles24.com/propiedades/excelente-oportunidad-de-banco-adjudicada-59869189.html
59313830,19  Antigüedad,70,m²,70,m²,19.4173191,-99.0862802,https://www.inmuebles24.com/propiedades/oportunidad-de-banco-en-zona-de-venustiano-carranza-59313830.html
59468971,16  Antigüedad,0,,60,m²,19.4219765,-99.0657619,https://www.inmuebles24.com/propiedades/oportunidad-de-banco-en-venustiano-carranza-59468971.html
59819727,15  Antigüedad,0,,60,m²,19.4219765,-99.0657619,https://www.inmuebles24.com/propiedades/excelente-propiedad-en-zona-venustiano-carranza-59819727.html
